id;nombre;apellido;tipo_identifiacacion;direccion;telefono;email;parentesco
1;target Deportes index;Avon;CE;deposit Chalet;Kiribati Pasaje;Lola_Carrera@gmail.com;Bond
2;Tugrik Plástico;Kwacha;CE;paradigma;uniforme sensor;Luz_Yez35@gmail.com;Siria Intranet
3;Plástico XML mesh;Galicia Sopa Blanco;CC;a;web-readiness Avon;Marisol_Anaya@hotmail.com;Gerente Dinánmico negocio
4;PCI;Parque;CC;Seguridada;Gris;JuanCarlos.Delgadillo94@yahoo.com;Ensalada Rústico
5;Asociado Acero;Account;CC;vortals transmitting;Checking;Jacobo_Rodarte@hotmail.com;cross-media e-tailers Mercado
6;sticky;navigate;CE;Gran payment;Negro quantify;ngela_Ybarra91@hotmail.com;online
7;withdrawal indexing;deposit fallos Acero;CC;Extendido Tácticas Armenia;models;Agustn_Carrasco99@hotmail.com;Informática Gris
8;metrics compressing;intuitive;CE;Genérico;Parafarmacia Amarillo;Andrs_Bernal83@hotmail.com;pixel hacking Borders
9;Operaciones Buckinghamshire;Dram Representante Niger;CC;payment SAS Mascotas;de Camiseta;Sancho.Lerma2@gmail.com;e-services
10;Gris;Gorro Bedfordshire;CE;Cuentas Credit;FTP;Nicols_Casanova8@yahoo.com;innovative Canada deposit
