id;nombre_ninio;nombre_acudiente;telefono_acudiente;valor;fecha_ingreso;hora_entrada;hora_salida
1;Fantástico Decoración generate;Cataluña program Deportes;Checking Acero payment;41931;2022-07-04T06:49:16;withdrawal Rústico functionalities;recontextualize
2;Terrenos objetos;Gris cutting-edge;Violeta;39805;2022-07-03T23:31:01;Galicia quantifying;Usabilidad
3;Violeta cultivate Gerente;intuitive;analista;73385;2022-07-04T22:09:53;Artesanal;Tala Morado Dinánmico
4;parse;Funcionario Galicia;Gris back-end Bedfordshire;63204;2022-07-04T04:55:09;e-services Bebes navigating;GB Cine
5;partnerships interface;Estratega Aragón;Baleares;37758;2022-07-04T20:58:05;Ergonómico;Soluciones withdrawal paralelismo
6;Bedfordshire channels;Herzegovina wireless Franc;Videojuegos;27237;2022-07-04T09:53:04;generating Blanco interface;modular solución
7;Parafarmacia Blanco;cross-platform Plástico interfaces;COM discreta;94241;2022-07-04T17:36:05;payment Analista;system Centralizado Canarias
8;state Joyería Arroyo;Mesa mission-critical drive;móbil;59165;2022-07-04T15:16:29;CSS;Castilla
9;Pequeño Parafarmacia;Pizza;architectures;74013;2022-07-04T09:28:48;Poland Account open-source;Rojo
10;Muelle Implementación Silla;alianza systems;e-tailers Nakfa Innovador;25980;2022-07-04T09:34:15;supply-chains Música;Gorro cross-platform
